bitrate (kbps), buffer level (secs), throughput (Mbps), segment download time (ms), segment size (bytes) 
1628, 85.744, 1.720107111111111, 0, 235679
1628, 77.747, 1.720107111111111, 0, 235679
1628, 69.787, 1.720107111111111, 0, 235679
1628, 61.824, 1.720107111111111, 0, 235679
1628, 53.582, 1.720107111111111, 0, 235679
1628, 45.608, 1.720107111111111, 0, 235679
1628, 37.645, 1.720107111111111, 0, 235679
1628, 29.67, 1.720107111111111, 0, 235679
1628, 21.708, 1.720107111111111, 0, 235679
1628, 13.739, 1.720107111111111, 0, 235679
1628, 5.777, 1.720107111111111, 0, 235679
